Codigo,Nombre,market samaria Vendido,market playa dormida Vendido,market two towers Vendido,principal Vendido,donaciones Vendido,market samaria Inventario,market playa dormida Inventario,market two towers Inventario,principal Inventario,donaciones Inventario,Total vendido,Total inventario,Total en lista,Descuentos,Total Neto,Devoluciones,Total ajustado,Costo,Comision,Ganancia,%,Categoria,SubCategoria,Marca,Unnamed: 26
1620,Gatorade Tropical Fruit X 500ml,234,96,33,0,0,47 inv,34 inv,14 inv,0 inv,0 inv,363,95,"$1,525,210",3782,1521428,0,1521428,838353,0,683075,44.9%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
463,Coca Cola Lata Sin Azucar  330 Ml,212,95,48,0,0,67 inv,77 inv,37 inv,0 inv,5 inv,355,186,"$1,193,277",2689,1190588,0,1190588,798992,0,391596,32.9%,3. Aguas Y Bebidas Sin Alcohol,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3912,SUPER COCO TURRON,293,57,0,0,0,365 inv,348 inv,2 inv,0 inv,0 inv,350,715,"$147,059",462,146597,0,146597,39596,0,107001,73.0%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2226,Platano Verde Xund,224,113,13,0,0,-12 inv,0 inv,0 inv,0 inv,0 inv,350,-12,"$768,400",8330,760070,0,760070,470444,0,289626,38.1%,sin categoria,,FRUVER,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1861,HELADO CASERO DE COCO,158,128,57,0,0,39 inv,28 inv,16 inv,0 inv,0 inv,343,83,"$749,412",2185,747227,0,747227,513637,0,233589,31.3%,Helados,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
415,BOLSA CAMBREL GRANDE,292,36,10,0,0,2079 inv,-100 inv,23 inv,2000 inv,0 inv,338,4002,"$1,011,000",60000,951000,0,951000,687810,0,263190,27.7%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1324,Ponque Chocoramo Tajada X 65gr,253,36,38,0,0,87 inv,15 inv,0 inv,0 inv,0 inv,327,102,"$824,370",2017,822353,0,822353,526157,0,296196,36.0%,4. Tortas Y Ponques,,RAMO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
556,Budweiser Lata 269 Ml,286,38,0,0,0,-80 inv,164 inv,71 inv,0 inv,0 inv,324,155,"$871,260",0,871260,0,871260,484169,0,387091,44.4%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1468,Gaseosa Bretaña 1.5 Litros,214,76,31,0,0,79 inv,26 inv,6 inv,0 inv,19 inv,321,130,"$1,444,500",4050,1440450,0,1440450,818390,0,622060,43.2%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2615,Aguacate Xund,209,94,4,0,0,-5 inv,0 inv,-1 inv,0 inv,0 inv,307,-6,"$2,619,600",34220,2585380,9000,2576380,1661972,0,914408,35.5%,Fruver,,FRUVER,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1245,SUERO ELECTROLIT MARACUYA  625ML,197,88,21,0,0,95 inv,89 inv,0 inv,0 inv,0 inv,306,184,"$2,754,000",4500,2749500,0,2749500,1899731,0,849769,30.9%,sin categoria,,DISTRINACIONAL SAS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
162,Bretaña  Friopack X300ml,155,127,22,0,0,125 inv,66 inv,24 inv,0 inv,1 inv,304,216,"$851,200",3080,848120,0,848120,585530,0,262590,31.0%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1007,VODKA SMIRNOFF ICE GREEN APPLE X250 ML,166,119,14,0,0,-10 inv,4 inv,37 inv,0 inv,0 inv,299,31,"$2,705,238",86857,2618381,0,2618381,1330788,0,1287593,49.2%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
622,BON BON BUM COLOMBINA TODOS LOS SABORES,214,81,2,0,0,120 inv,-100 inv,57 inv,0 inv,0 inv,297,77,"$224,622",4235,220387,0,220387,85940,0,134446,61.0%,sin categoria,,MULTIMARCAS DEL CARIBE,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
726,ARROZ DIANA 500GR,200,86,7,0,0,37 inv,16 inv,4 inv,0 inv,0 inv,293,57,"$966,900",5940,960960,0,960960,604162,0,356798,37.1%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4030,Leche Deslactosada Alqueria X 1100 Ml,201,59,16,0,0,37 inv,14 inv,10 inv,0 inv,0 inv,276,61,"$1,932,000",4200,1927800,0,1927800,1203360,0,724440,37.6%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2610,Agua Cristal Botellon 20lts,148,54,73,0,0,42 inv,12 inv,6 inv,0 inv,0 inv,275,60,"$4,400,000",0,4400000,80000,4320000,3386280,0,933720,21.6%,3. Aguas Y Bebidas Sin Alcohol,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
487,SUERO ELECTROLIT  FRESA KIWI 625ML,125,129,16,0,0,159 inv,99 inv,7 inv,0 inv,0 inv,270,265,"$2,430,000",31500,2398500,0,2398500,1630649,0,767851,32.0%,sin categoria,,DISTRINACIONAL SAS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1477,CHOCOLATE CORONA PASTILLA,224,44,2,0,0,118 inv,63 inv,55 inv,0 inv,0 inv,270,236,"$334,286",0,334286,0,334286,213515,0,120771,36.1%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1355,QUIPITOS  X 8G,160,67,25,0,0,38 inv,24 inv,4 inv,0 inv,0 inv,252,66,"$211,765",252,211513,0,211513,101217,0,110295,52.1%,sin categoria,,SAN ISIDRO B,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2647,Arepa De Queso La Causalera X 5,204,24,7,0,0,55 inv,62 inv,4 inv,0 inv,0 inv,235,121,"$1,339,500",6270,1333230,0,1333230,821787,0,511443,38.4%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1092,VODKA SMIRNOFF ICE ORIGINAL LATA x250ml,156,61,13,0,0,28 inv,31 inv,1 inv,0 inv,0 inv,230,60,"$2,080,952",0,2080953,0,2080953,1100490,0,980462,47.1%,Licores,,MEICO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
907,Gomitas Trolli  40g,198,26,1,0,0,-24 inv,39 inv,0 inv,2 inv,2 inv,225,19,"$472,689",1050,471639,0,471639,221671,0,249968,53.0%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2171,Papa Lavada Xund,158,67,0,0,0,-1 inv,0 inv,0 inv,0 inv,0 inv,225,-1,"$181,600",3360,178240,0,178240,107425,0,70815,39.7%,Fruver,,FRUVER,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2789,Cebolla Cab Blanca Xund,154,69,2,0,0,-10 inv,0 inv,0 inv,0 inv,0 inv,225,-10,"$237,700",720,236980,0,236980,142943,0,94037,39.7%,sin categoria,,FRUVER,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1913,JET BURBUJAS 14G,174,40,10,0,0,123 inv,21 inv,9 inv,0 inv,0 inv,224,153,"$207,059",2034,205025,0,205025,143694,0,61331,29.9%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1022,Jp Chenet Fizzy Rosada Lt X250ml,102,101,20,0,0,-46 inv,91 inv,0 inv,0 inv,0 inv,223,45,"$2,654,762",7143,2647619,0,2647619,1346443,0,1301176,49.1%,sin categoria,,DISLICORES,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2792,Cebollin Xund,167,50,5,0,0,-53 inv,0 inv,0 inv,0 inv,0 inv,222,-53,"$140,500",0,140500,0,140500,78757,0,61743,43.9%,Fruver,,FRUVER,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
461,Coca Cola Lata 330 Ml,130,71,21,0,0,56 inv,87 inv,21 inv,0 inv,0 inv,222,164,"$786,887",4608,782280,0,782280,496254,0,286026,36.6%,3. Aguas Y Bebidas Sin Alcohol,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
960,LECHE DESLACTOSADA  ALPINA BOLSA 1100 ML,165,46,7,0,0,40 inv,31 inv,0 inv,0 inv,0 inv,218,71,"$1,526,000",700,1525300,0,1525300,1029630,0,495670,32.5%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3567,BOLSA DE LECHE ALQUERIA 1100ML,161,46,10,0,0,40 inv,14 inv,6 inv,-1 inv,0 inv,217,59,"$1,280,300",0,1280300,0,1280300,902720,0,377580,29.5%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4134,Cocosette,123,73,14,0,0,72 inv,39 inv,9 inv,0 inv,0 inv,210,120,"$441,176",2101,439076,0,439076,253195,0,185880,42.3%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4029,CHOCOLATINA JET 11G,120,64,21,0,0,107 inv,83 inv,40 inv,0 inv,0 inv,205,230,"$258,403",1891,256512,0,256512,134591,0,121922,47.5%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
912,Salchicha Ranchera Tripack 75gf,169,21,11,0,0,-2 inv,11 inv,1 inv,0 inv,40 inv,201,50,"$810,756",3630,807126,0,807126,632368,0,174758,21.7%,sin categoria,,LA RECETA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4375,Gatorade Azul X500ml,146,30,21,0,0,65 inv,21 inv,10 inv,0 inv,0 inv,197,96,"$827,731",420,827311,4202,823109,454753,0,368356,44.8%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1707,BOM BON SUPER COCO,103,70,19,0,0,74 inv,47 inv,0 inv,0 inv,0 inv,192,121,"$161,345",504,160840,0,160840,67486,0,93354,58.0%,sin categoria,,DISAM,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2806,Cerveza Corona Botella 355 Ml,0,139,50,0,0,441 inv,-8 inv,0 inv,0 inv,0 inv,189,433,"$857,647",0,857647,0,857647,546295,0,311352,36.3%,1. Cervezas,,DISTRIBUCIONES 2A,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2141,HELADO PALETA TOSH PASION 72G,92,72,17,0,0,22 inv,29 inv,15 inv,0 inv,0 inv,181,66,"$654,034",2168,651866,0,651866,407725,0,244141,37.5%,sin categoria,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2131,HELADO PALETA ALOHA LIMON,102,54,25,0,0,41 inv,25 inv,6 inv,0 inv,0 inv,181,72,"$334,622",739,333882,0,333882,165499,0,168383,50.4%,sin categoria,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3800,Heineken Sin Alcohol,122,31,27,0,0,91 inv,181 inv,60 inv,0 inv,0 inv,180,332,"$453,782",2521,451261,0,451261,369377,0,81883,18.1%,1. Cervezas,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3606,Gatorade Fresa Kiwi Sin Azucar X500ml,110,43,25,0,0,12 inv,-45 inv,0 inv,0 inv,0 inv,178,-33,"$747,899",22269,725630,0,725630,461203,0,264427,36.4%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3511,STELLA ARTOIS LATA 269 ML,156,0,18,0,0,344 inv,423 inv,20 inv,0 inv,0 inv,174,787,"$614,118",0,614118,0,614118,352133,0,261985,42.7%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4290,Jugo Country Hill Nectar De Naraja,116,48,8,0,0,9 inv,11 inv,-2 inv,0 inv,1 inv,172,19,"$1,488,739",9521,1479218,0,1479218,810609,0,668609,45.2%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1859,HELADO ARTESANAL TRES LECHES,94,47,31,0,0,71 inv,46 inv,7 inv,0 inv,0 inv,172,124,"$505,882",3235,502647,0,502647,345154,0,157493,31.3%,sin categoria,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
908,JAMON PIETRAN DE CERDO 230G,128,32,10,0,0,38 inv,4 inv,2 inv,-2 inv,3 inv,170,45,"$2,071,429",1218,2070210,0,2070210,1641765,0,428445,20.7%,sin categoria,,LA RECETA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
972,BONYURT CON ZUCARITAS 170 G ALPINA,120,35,13,0,0,17 inv,8 inv,-2 inv,0 inv,0 inv,168,23,"$734,118",4807,729311,0,729311,470545,0,258766,35.5%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2137,HELADO PALETA JET VAINILLA X62G,73,54,41,0,0,32 inv,20 inv,8 inv,0 inv,0 inv,168,60,"$635,435",1135,634300,0,634300,443424,0,190876,30.1%,sin categoria,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1469,Gaseosa Canada Dry 1.5,103,44,19,0,0,75 inv,23 inv,25 inv,0 inv,1 inv,166,124,"$809,076",11210,797866,0,797866,508600,0,289265,36.3%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3632,INSTACREM,108,51,4,0,0,247 inv,16 inv,45 inv,0 inv,0 inv,163,308,"$54,790",726,54064,0,54064,22739,0,31325,57.9%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1874,HUEVO POR UNIDAD,67,90,0,0,0,-1183 inv,-569 inv,0 inv,0 inv,0 inv,157,-1752,"$152,000",0,152000,0,152000,68295,0,83705,55.1%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2140,PALETA TOSH FRESA,80,61,15,0,0,54 inv,20 inv,6 inv,0 inv,0 inv,156,80,"$471,933",908,471025,0,471025,314969,0,156056,33.1%,sin categoria,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3875,COCACOLA SABOR ORIGINAL 2.25 LT,86,47,23,0,0,29 inv,-8 inv,8 inv,0 inv,0 inv,156,29,"$1,179,832",13613,1166219,30252,1135967,767194,0,368773,32.5%,sin categoria,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1033,LUCKY STRIKE GIN VERDE  X10 UND,61,88,4,0,0,44 inv,39 inv,4 inv,0 inv,0 inv,153,87,"$964,286",0,964286,0,964286,518865,0,445420,46.2%,sin categoria,,CIGARRILLOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4154,Helado Polet Caramelo Crocante X90g,68,60,22,0,0,-3 inv,8 inv,3 inv,0 inv,0 inv,150,8,"$857,143",571,856572,0,856572,615138,0,241434,28.2%,Helados,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1006,SERVILLETA EXPERT DOBLE HOJA 75HOJAS,91,50,8,0,0,25 inv,23 inv,5 inv,0 inv,0 inv,149,53,"$813,866",0,813865,0,813865,517992,0,295873,36.4%,Aseo,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3202,HELADO PALETA ALOHA MANGO BICHE X65G,75,53,21,0,0,20 inv,24 inv,22 inv,0 inv,0 inv,149,66,"$363,109",731,362378,0,362378,224533,0,137845,38.0%,sin categoria,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3588,Helado Polet Frutos Del Bosque  X70,70,61,17,0,0,-54 inv,-12 inv,5 inv,0 inv,0 inv,148,-61,"$845,714",1143,844572,0,844572,509597,0,334975,39.7%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
855,HARINA PAN BLANCA 500G,89,55,3,0,0,56 inv,9 inv,14 inv,1 inv,1 inv,147,81,"$462,000",0,462000,0,462000,223537,0,238463,51.6%,sin categoria,,MEICO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
